Order ID,Order Date,Region,Category,Product,Sales,Profit,Quantity,Customer
ORD1000,2023-01-01,South,Technology,Chair,761.84,234.56,5,Customer_C
ORD1001,2023-01-02,Central,Technology,Storage,1879.63,43.19,4,Customer_A
ORD1002,2023-01-03,East,Furniture,Binder,174.45,-53.61,8,Customer_C
ORD1003,2023-01-04,South,Furniture,Laptop,894.1,205.75,6,Customer_B
ORD1004,2023-01-05,South,Office Supplies,Phone,1938.4,39.09,6,Customer_C
ORD1005,2023-01-06,Central,Furniture,Chair,1141.15,176.08,8,Customer_D
ORD1006,2023-01-07,East,Technology,Phone,904.59,122.08,7,Customer_B
ORD1007,2023-01-08,East,Technology,Binder,1180.19,209.34,8,Customer_D
ORD1008,2023-01-09,South,Furniture,Binder,1194.26,80.21,2,Customer_A
ORD1009,2023-01-10,West,Technology,Chair,1490.13,288.37,9,Customer_A
ORD1010,2023-01-11,South,Technology,Laptop,342.61,-73.95,1,Customer_A
ORD1011,2023-01-12,South,Furniture,Table,575.03,287.55,8,Customer_C
ORD1012,2023-01-13,South,Furniture,Chair,1203.03,88.16,4,Customer_B
ORD1013,2023-01-14,South,Technology,Table,1747.52,412.02,4,Customer_A
ORD1014,2023-01-15,Central,Technology,Storage,1167.55,160.67,5,Customer_A
ORD1015,2023-01-16,East,Technology,Table,553.33,481.18,8,Customer_B
ORD1016,2023-01-17,Central,Office Supplies,Laptop,1391.71,221.35,5,Customer_A
ORD1017,2023-01-18,Central,Office Supplies,Storage,1505.83,-43.31,8,Customer_D
ORD1018,2023-01-19,Central,Office Supplies,Table,552.65,375.25,1,Customer_B
ORD1019,2023-01-20,South,Furniture,Storage,817.68,41.56,9,Customer_B
ORD1020,2023-01-21,West,Office Supplies,Table,1115.22,43.33,6,Customer_B
ORD1021,2023-01-22,East,Furniture,Laptop,1043.47,-177.74,3,Customer_D
ORD1022,2023-01-23,West,Furniture,Table,840.27,184.1,8,Customer_B
ORD1023,2023-01-24,Central,Office Supplies,Table,665.51,174.1,9,Customer_D
ORD1024,2023-01-25,Central,Office Supplies,Table,289.97,49.19,6,Customer_B
ORD1025,2023-01-26,West,Office Supplies,Chair,201.62,425.95,7,Customer_C
ORD1026,2023-01-27,West,Technology,Chair,1921.23,-109.88,1,Customer_A
ORD1027,2023-01-28,West,Office Supplies,Chair,1709.57,31.07,5,Customer_C
ORD1028,2023-01-29,Central,Technology,Laptop,774.32,25.11,5,Customer_A
ORD1029,2023-01-30,Central,Furniture,Storage,1917.92,-135.4,4,Customer_D
ORD1030,2023-01-31,East,Technology,Binder,1385.86,136.8,6,Customer_C
ORD1031,2023-02-01,East,Office Supplies,Table,1016.79,281.45,7,Customer_B
ORD1032,2023-02-02,Central,Furniture,Table,1036.75,158.16,9,Customer_A
ORD1033,2023-02-03,West,Furniture,Laptop,258.24,-90.12,1,Customer_A
ORD1034,2023-02-04,West,Furniture,Table,274.24,64.1,6,Customer_C
ORD1035,2023-02-05,East,Technology,Chair,1244.64,-198.18,7,Customer_D
ORD1036,2023-02-06,Central,Office Supplies,Binder,1152.04,407.81,3,Customer_C
ORD1037,2023-02-07,East,Furniture,Phone,504.18,-140.84,8,Customer_D
